date,anz,cba,mqg,nab,wbc,banks,areit,asx,audusd,comm,dspread,tspread,bills,ivol
20020807,1.359076601,0.480090221,-0.799644872,3.837432236,-0.903941673,1.362329889,-0.389870703,-1.131884072,-3.284458884,-0.525203322,-8.8800000000000000E-14,-18,-6,42.03
20020814,2.043585175,1.678873897,-8.575335798,-0.066368084,3.467601527,1.536474156,1.612635098,1.593767426,2.07232283,3.372473987,-3,-23.5,5,35.82
20020821,0.458844182,0.500541884,8.564059171,-0.733399074,0.017399992,-0.007471588,-0.512207637,2.244680759,1.029420855,-0.08625289,3,17,5,29.59
20020828,0.29578694,-1.603753637,3.758243384,0.57107491,-3.372322833,-0.807057371,0.234717429,-0.647575336,1.073225399,-0.733079123,-5,5.5,8,30.11
20020904,1.729349315,2.762729643,-5.977237294,0.683414356,0.348267852,1.174061193,0.620687583,-1.168807869,-1.715370528,1.367401394,-2,-20,-19,39.97
20020911,2.271176494,2.503021801,0.418824683,2.745085445,2.822647308,2.377442455,0.398086793,1.863565999,0.861363339,3.725256275,3,6,5,35.08
20020918,-0.284076965,-1.305651657,-0.992369271,-0.740660018,-0.499790328,-0.757613068,-0.153101523,-0.705188686,-0.274097933,0.008612894,5,-7,3,38.01
20020925,-3.077835706,-1.546172995,-6.503962078,-2.585633315,-2.141958739,-2.313638146,0.408414598,-4.145135751,-0.109849883,-0.665372945,5,-17,-4,40.52
20021002,-3.011188443,-3.329640597,-3.570323159,-1.293379408,-6.828804006,-3.245415833,0.848037992,0.333218994,-0.680087172,1.433587709,1,19.5,1,34.12
20021009,-5.180162013,-5.820165214,-8.467282666,-4.893764632,-5.372999599,-5.174328026,0.31491945,-2.84683347,0.826526884,-3.041732835,7,12.5,-2,41.02
20021016,4.799764419,2.782587093,5.647263321,1.098513126,1.50824707,2.05657437,1.21297482,2.782316496,0.127959071,2.237887199,8,20,3,34.02
20021023,0.195284675,2.012621486,4.177984698,2.858660797,0.902937062,1.669180064,-0.2108664,1.283721841,0.981647585,-1.907636173,8.8800000000000000E-14,11.5,1,34.09
20021030,5.00513385,-1.337236927,5.365025847,0.229179165,0.23915848,0.728128424,0.216068006,-0.815223666,0.433213674,-0.805950167,-3,-20.3,-7.7,32.27
20021106,-0.123567309,-4.614454993,7.325447387,0.701207477,5.918032767,0.762098689,0.113894601,2.404866429,1.003592653,-3.526853091,-2,2.8,-0.3,31.23
20021113,-4.618950033,-4.212174154,-11.32573612,-3.799161219,-3.917293058,-4.092028267,0.668719682,-3.344593062,0.106932821,-1.13478714,-6,-34,-5,30.58
20021120,2.118310577,-0.294035666,2.477784695,-1.05564859,2.57753991,1.242664205,1.134211394,1.440914823,-0.607470155,3.762289983,-9,10.5,1,27.41
20021127,1.06035923,0.036497683,1.0754094,2.357696593,-1.956755358,1.15793689,0.137524114,0.107006823,0.482704075,0.944810006,-3,11.5,1,25.97
20021204,-2.031458542,1.063511594,4.053189487,0.115758689,-1.345442387,-0.457110166,-0.38771532,0.733799275,-0.053518867,-0.857958293,-3,7,1,28.33
20021211,-5.382269879,-1.543912445,0.380988027,-4.033550464,-1.217651366,-3.00634413,1.006187925,-1.911007662,0.017842805,1.671522918,4,-13.5,-1,28.76
20021218,1.933079128,0,1.109263546,-0.290576176,2.49406686,0.52031919,-0.604267409,0.56498228,1.029473061,2.997753289,-2,-11.5,0,26.66
20021225,0.717153244,1.762709868,1.18046935,3.058991802,1.167025973,1.816759284,1.394947281,1.678664797,-0.815607358,2.148410354,1,-9,-1,26.49
20030101,-1.734015613,-1.762709868,-0.135238717,-2.092270869,-2.274541827,-1.868035813,0.125075018,-0.851220338,0.797947314,-2.020340332,-1,-5,-3,28.62
