date,cba,cbaw,cbad,cbadiv,wbc,wbcw,wbcd,wbcdiv,anz,anzw,anzd,anzdiv,nab,nabw,nabd,nabdiv,mqg,mqgw,mqgd,mqgdiv,ben,benw,bend,bendiv,boq,boqw,boqd,boqdiv,aba,abaw,abad,abadiv,mkt
20000228,-2.871885141,22652801262,1.99E+11,0,-3.29159236,18649590252,1.59E+11,0,-2.387727723,14896771474,1.63E+11,0,0.043287288,29511722573,3.24E+11,0,-0.199046982,4202728729,22476758000,0,-0.37664828,349195003.5,4613436000,0,0.19472036,277499455.2,3500202000,0,0,68004066,884779000,0,-0.111082375
20000229,-0.967005406,22434657827,1.99E+11,0,2.334700037,19090173954,1.59E+11,0,1.206016469,15077415715,1.63E+11,0,2.843822922,30363009331,3.24E+11,0,2.91757138,4327140317,22476758000,0,2.230789189,357076083,4613436000,0,0,277499455.2,3500202000,0,0,68004066,884779000,0,0.575461922
20000301,3.18188058,23159937364,1.99E+11,0,3.468293407,19763801301,1.59E+11,0,2.671389067,15485637053,1.63E+11,0,3.245687605,31364769280,3.24E+11,0,-0.937814234,4286798005,22476758000,0,1.097006363,361013297.4,4613436000,0,0,277499455.2,3500202000,0,0,68004066,884779000,0,1.999196806
20000302,-0.583150947,23025368948,1.99E+11,0,-1.752244081,19420611731,1.59E+11,0,-0.957963686,15338066299,1.63E+11,0,0.752685386,31601760819,3.24E+11,0,0,4286798005,22476758000,0,4.098402864,376110386.4,4613436000,0,0,277499455.2,3500202000,0,-2.32968994,66440483.2,884779000,0,1.022107514
20000303,-1.608183391,22658216490,1.99E+11,0,-1.620039275,19108470006,1.59E+11,0,0.558192747,15423899875,1.63E+11,0,-3.802361214,30422630784,3.24E+11,0,-1.183609916,4236353021,22476758000,0,-7.612978589,348543234.9,4613436000,0,-0.018528469,277446658.5,3500202000,0,0,66440483.2,884779000,0,0.398772311
20000306,-0.959349861,22441878131,1.99E+11,0,0,19108470006,1.59E+11,0,-0.5876476,15333499008,1.63E+11,0,-2.321224058,29724506906,3.24E+11,0,-1.197787211,4185925131,22476758000,0,0.373212127,349853422.8,4613436000,0,0.018528469,277499455.2,3500202000,0,0,66440483.2,884779000,0,-0.449397129
20000307,-1.205887077,22172560792,1.99E+11,0,0.038747175,19115862350,1.59E+11,0,0,15333499008,1.63E+11,0,1.84448559,30277985254,3.24E+11,0,0.40163998,4202728729,22476758000,0,-0.564504239,347884815.6,4613436000,0,-0.19472036,276959755.6,3500202000,0,1.463834345,67418704.6,884779000,0,0.573356828
20000308,0,22172560792,1.99E+11,0,0.822135097,19273688894,1.59E+11,0,0.880277523,15469100309,1.63E+11,0,-2.418990295,29554309325,3.24E+11,0,-2.429595889,4101872949,22476758000,0,0.940452297,351163610.7,4613436000,0,0.390911357,278045021.1,3500202000,0,0,67418704.6,884779000,0,-0.758755722
20000309,0,22172560792,1.99E+11,0,2.817379931,19824418522,1.59E+11,0,1.689676651,15732743256,1.63E+11,0,-3.667074759,28490238234,3.24E+11,0,-0.204354012,4093462603,22476758000,0,2.584754271,427384667.4,4613436000,0,0,278045021.1,3500202000,0,0,67418704.6,884779000,0,-0.596537044
20000310,-7.132144659,20646549542,1.99E+11,0,0.921612472,20007933462,1.59E+11,0,-0.875182381,15595567027,1.63E+11,0,1.483066613,28915806899,3.24E+11,0,2.633949901,4202728729,22476758000,0,0.180661269,428165559.6,4613436000,0,-0.390911357,276959755.6,3500202000,0,0,67418704.6,884779000,0,0.114763188
20000313,0.520117434,20754222325,1.99E+11,0,-1.107225929,19787641611,1.59E+11,0,0.028959938,15600134318,1.63E+11,0,-1.085354517,28603653478,3.24E+11,0,1.193014592,4253173714,22476758000,0,1.800704524,435950818.2,4613436000,0,0.975347161,279669986.2,3500202000,0,1.437075653,68394961.7,884779000,0,-0.107376795
20000314,-0.085159036,20736261819,1.99E+11,0,-0.092713113,19769345559,1.59E+11,0,1.180570319,15498083796,1.63E+11,0,1.964720179,29171177984,3.24E+11,0,1.567343755,4320405202,22476758000,0,-0.355184082,434389033.8,4613436000,0,0,279669986.2,3500202000,0,0,68394961.7,884779000,0,-0.186841824
